distinct_id,case when page = 'discuss_detail' then '4' when page = 'group' then '5' end,item_nid,count(1)
d:e193f16f-dcc9-3486-ad38-03397287def2,5,c6edca31-909c-449e-a07a-54496a67e1a2,2
u:2037274,5,f86b39d4-3526-11e5-92d3-3c07542d4811,2
u:2101792,5,8a4571a1-c68f-4f4c-87c6-b5346d9aaafa,5
u:1126424,4,cfea0122-c047-4294-96d3-57f52da74dd7,1
d:755ec150-f7af-356b-ad76-184b3f8ab874,5,f86b39d4-3526-11e5-92d3-3c07542d4811,2
d:cc6f53c1-3048-3ba9-819a-c2446f188ae8,4,75774022-f9a1-4b96-a07d-01d99c798faa,1
u:73240,5,79915e31-7859-4122-8253-b491e7891c8e,2
u:615176,4,82f96635-e2fb-4dc4-a350-2c832230086f,1
u:2179565,4,4484477f-2121-4de3-a4e1-ef072b41e76f,1
u:2042113,4,798a0001-4f7e-48d0-8293-1219ac62ed61,1
u:2124922,4,0a15dcb0-b689-4b88-b657-3822ee4cfb8f,1
u:122261,4,26df055e-8871-43fe-a98e-07785cd3e8c2,1
u:2049142,4,0cf0eb59-1604-4ae1-8f47-78b2000fd36d,1
u:2305998,4,44e027c2-e1b5-4805-ae59-6fb74a66c1bf,1
u:2054180,4,0e51bb38-fa7f-4ede-b437-f2a522404760,1
u:238473,5,d4d1bd51-acc6-47bb-b99b-6fece7b8a8a7,1
u:2242837,5,05c6ed35-e1dc-4eb1-adcf-f94016d056ac,3
u:91532,4,d5e2d804-5bec-451c-ab5d-3256a277abef,1
d:2da59184-2455-3a39-9617-a4f1b59cab73,4,494cafe4-3156-4ce7-a10f-b8d93427640c,1
u:2337064,4,918fe099-88cb-4ae8-95e7-0977ad420391,1
u:227955,4,7c1746f3-8a85-421c-8de7-bdea5280892b,1
d:a06453d0-da97-3e88-aa7e-e93cebe8373a,4,d619a2e2-e02c-4ae0-9e1b-1ae50a1eeb94,1
u:2355008,4,355e45b8-4aad-4b25-bee8-6c566e9dbcb4,1
u:624416,4,3ee8188b-f55d-47d7-986d-3a9c60f64b53,1
u:701678,4,f8516a69-97c1-4b04-b1f1-bca224436baf,1
u:2269422,4,d1f8d356-18ec-49fe-8c84-0643dd9f9c33,1
u:2339111,4,d933f723-b5c5-4218-9728-d02f2799bec2,1
u:2277399,4,c2691c9a-aeaa-42e0-aed2-b9742d99fb6f,1
u:2145854,4,7c1746f3-8a85-421c-8de7-bdea5280892b,1
d:82b47616-3713-3ff7-a36b-f3157bb5a32e,4,35a5b6d2-be92-45af-9e8d-1a787c92ceee,1
u:2146042,4,788ac913-4142-45a8-b4e5-0275aa2bab02,1
u:1195152,4,3714c274-74aa-418d-ab97-65af0e3bcd15,1
u:1342174,4,d2688e4d-d1a5-4eca-95c4-0aba30fe10f2,3
u:2322947,4,23bcd33a-5d42-4912-86f2-f05025e40040,1
u:1168598,4,444d06c4-6aaf-4804-8350-b2c066dd63e6,1
u:2196491,4,07b9d9a6-5e82-4217-9a09-a93872f95cf5,1
u:2341827,4,749a7148-bb27-4baa-ae76-03c4077ef9fa,1
u:374247,4,7040fec9-efd9-4fbb-8258-71f0cef10599,1
u:2076264,4,d080fe5c-c02b-4185-91bd-f0fa77fd92ca,1
u:2206206,4,16d84e86-0209-4a78-8677-8c4defc41f51,1
u:2140926,4,f4ad4ce6-6872-443a-94b8-1f12a05560c3,1
u:702236,4,44e027c2-e1b5-4805-ae59-6fb74a66c1bf,2
d:4524edb55b2e8dc4310942e6c69d43130b68c328,4,3ea5b70a-c6e7-4d34-a7d6-8d75e859fca6,1
u:1012568,4,7fd02ad9-e485-4614-8894-411198835437,1
u:1426200,4,61baba65-b451-416f-9680-b5d8c8626d72,1
u:498660,5,a3e05bc0-c58b-499d-a1e9-0827b4185536,7
u:2039645,4,21a5d554-81ac-4a69-9c70-41d2fc650929,1
u:992644,4,5213a045-1787-4901-b2c1-8508c5dfe222,1
u:604386,4,eb4292ce-490e-4a61-b91d-e4e3b0602d1a,1
u:2296591,4,5a0f28d6-bbfb-491d-b7c6-0da17063da58,1
u:2354149,4,55cb3231-c9ce-40a7-bd14-2097976e31b2,1
u:2112537,4,3bb97ecd-0f62-4971-ad63-6834fa6eee07,2
u:2152538,4,9b32918b-d895-4c79-ab19-5655a00eff2d,1
u:2144322,4,175ea3a9-1ea6-4b5f-ba5b-ed75e619da83,1
d:878b3214c221c3fedb3087abba1fd5a6fa817a9b,4,620427d4-7600-426e-9f92-0964b9ad1e85,1
u:2356169,4,c58bebaf-9928-415a-9945-00f6dcba8895,1
u:2009209,4,2a03fb4f-5b2c-45f0-9c63-912f817ff87f,1
u:2213775,4,5dfbaca6-e19c-45bb-8f4d-e93cbeba3387,1
u:462630,4,ef7c3eac-f57c-49a3-9950-56006236b2be,1
u:2298762,5,6f8b1fe6-27b5-4f34-a0a2-0f09f2e5d6e0,29
u:2273484,5,0df9a719-f79f-49d6-8cf8-d271c6201bce,2
u:2318134,5,79915e31-7859-4122-8253-b491e7891c8e,2
u:1467102,4,ca9e5323-de36-4527-ae80-e6f3a5c0c4fe,1
d:7953d3e63c7737430054b6b70fb2d60630c8536f,4,3bb97ecd-0f62-4971-ad63-6834fa6eee07,1
d:d19affd8-d58c-34b4-adac-ff2a7ac3bd59,4,0ab6659c-3188-4694-8014-bb07d1bd6b33,1
u:2052126,4,58783317-7f52-4c1a-ba89-6a1d1366dea6,1
u:2337242,4,deb082c0-4a92-4d0d-8a14-d230a98d2a52,1
u:2346259,4,3bb97ecd-0f62-4971-ad63-6834fa6eee07,2
d:e4075ea2974ed7b8fdbebf0665e5b07c9df30735,4,ef7c3eac-f57c-49a3-9950-56006236b2be,1
u:1152326,5,8a4571a1-c68f-4f4c-87c6-b5346d9aaafa,3
u:2314633,5,79915e31-7859-4122-8253-b491e7891c8e,3
d:f3eb8c63-eba0-3375-9576-fc18dd467b92,4,ef7c3eac-f57c-49a3-9950-56006236b2be,1
u:210259,5,8a4571a1-c68f-4f4c-87c6-b5346d9aaafa,3
u:2290314,4,d549f274-622b-4a50-af69-677c3d639540,1
u:2149485,4,44e027c2-e1b5-4805-ae59-6fb74a66c1bf,1
u:2303299,4,0e701bcd-2e14-48b2-8a46-f5793b6e4d42,1
u:2204723,4,3714c274-74aa-418d-ab97-65af0e3bcd15,1
u:704552,4,f83d13a4-2294-4644-9b8d-e3dda323405b,1
d:4b48cd5e-c218-3f91-b02a-d52c4f92a722,4,4bba24db-5f45-435b-92bc-c55c655ce3db,1
d:aeb15a9e-c873-3314-a8b3-71c96a137ba6,4,77c71c80-8eda-4393-ac81-c50afa45e12b,1
u:267813,4,b4b346d7-2255-4881-9fda-3fc649f96f6e,1
u:2355080,4,761ff57f-3cfa-49df-9aae-24ecd03d3efb,1
u:2217012,4,89d61edf-5774-4ee2-b420-b32975ebe8b0,1
u:2048107,5,c6edca31-909c-449e-a07a-54496a67e1a2,6
u:2340822,4,55cb3231-c9ce-40a7-bd14-2097976e31b2,1
u:2317743,4,9852e91e-31a2-4342-9caf-41c97e67afd5,1
u:407384,4,2b04be00-8c5e-4e43-ab1f-dc065eedf6c5,1
u:576756,4,07b9d9a6-5e82-4217-9a09-a93872f95cf5,1
u:853646,4,03d0b270-a491-4c91-b726-ca111e614691,2
u:2290321,4,f917edba-b0fa-4eb9-b5df-ac0ca61ed7b4,1
u:1448984,4,7fbba1fc-6253-4153-a99d-3a6c857fce3f,1
u:20004750,5,79915e31-7859-4122-8253-b491e7891c8e,2
d:041d07a8-71e9-3fe3-99f6-5238e009b8a3,4,a0a3a039-803c-4ab6-8d2c-460b36d26b2e,1
u:2252633,4,9e308a56-b8e6-41ee-8f31-8b6d4a432394,1
u:811270,5,79915e31-7859-4122-8253-b491e7891c8e,6
u:2356626,4,15bf0678-97f2-442d-b7cb-7f9cc3de16c1,2
u:2280509,4,f72b8ab8-5854-4a0f-8af9-e9d88c7bddcb,1
u:2309098,4,860f86b2-0452-4cf4-bda4-ce74e7d16f07,1
u:2194909,4,8c0712b4-d321-47c8-bcb8-af5389e74f89,1
u:2356701,4,b86f163c-8469-4506-a9c6-86305692b28e,2
u:685998,4,59c4eee6-9a3b-11e5-bc81-00ff63160e11,1
u:807434,4,8f921995-cbec-4039-8b18-93ac66413151,1
u:1150762,4,f95b972e-989a-433a-be23-50c7733067d1,1
u:2357213,4,b8fef8ec-fc58-48d3-a18d-1f57cb85c20d,3
d:8686b658-bddf-30ae-a5f8-4505e5869389,5,f86b39d4-3526-11e5-92d3-3c07542d4811,3
u:1109978,4,ace26562-719a-4cf4-bcb3-6badea4485a3,1
u:20044922,4,f4e75fe4-2b85-4e81-a3f8-b170ad84fc56,1
d:e4bc4e4c-ebe6-3b75-a0a0-97e1cbc22b24,4,abc013ec-7556-4c76-acf2-adf16b5db506,1
u:2215030,4,3fc5829f-a0b2-4d00-abc6-3befa47b83f2,1
u:2072869,4,1598874b-3563-4896-87d6-578c5525c740,1
u:2096559,5,f86b39d4-3526-11e5-92d3-3c07542d4811,11
u:2149290,4,59c3743b-9a3b-11e5-bc81-00ff63160e11,1
u:2253801,4,61baba65-b451-416f-9680-b5d8c8626d72,1
u:378695,4,15b2e289-6be3-402e-97db-a2f6f866426e,2
u:20031712,4,5fa2eb85-173d-4955-a58f-8e4e2c0a096d,1
u:2037470,5,4afffd22-beef-4d18-9fe7-e7430166ba83,2
u:2370776,5,79915e31-7859-4122-8253-b491e7891c8e,2
u:847742,5,8a4571a1-c68f-4f4c-87c6-b5346d9aaafa,7
u:2299809,4,d5c7bc46-3c96-46de-968f-bd3feb5ac152,1
u:135729,4,cb06251b-bb38-45a0-a907-f4f6915235e2,1
u:2188039,4,69796d14-db60-4ce2-b7f5-070caa7740fc,1
u:2358251,4,55cb3231-c9ce-40a7-bd14-2097976e31b2,1
u:2362569,4,088cf2ac-9f2f-44a3-892c-96cc70894082,1
d:4a9da7f4-480c-35f4-896f-9bc284dd2993,4,02983f1b-b7d3-4ca3-8cde-aa6024bc1dba,1
u:1475408,4,2e588523-c0a8-45d7-a1aa-230aca269534,1
d:720f4eb2-2d7b-388d-9102-be876c7343c9,4,abbe8899-57bc-41ac-affa-78cf687922b0,1
u:2283481,4,11f3b0e2-a4e9-45bd-b9c2-bcbf395b21e4,1
u:1297410,4,61baba65-b451-416f-9680-b5d8c8626d72,1
u:2253348,4,f72b8ab8-5854-4a0f-8af9-e9d88c7bddcb,1
u:222547,4,e652274b-aeb0-449f-9b0f-d256777f8a68,1
