distinct_id,case when page = '指南详情页' then '1' when page = '图书详情页' then '2' when page = '文献详情页' then '3' end,item_nid,count(1)
u:2250048,1,75,1
u:1180744,1,354,1
u:1188168,1,7230,1
u:2144208,1,29275,2
u:635668,2,2568,2
u:2314634,3,5876719,1
u:2231198,1,1784,1
u:888644,1,6590,1
d:d59b47c9-4e18-32d8-94ed-59fea47e1e87,3,14973119,2
d:ec3c2326-c9f4-3bfb-ba75-43c3b1cea4ec,3,12584903,1
u:2340174,1,22673,1
u:2343695,3,13323673,1
u:2215893,1,17369,1
u:2338307,3,5772379,1
u:20025360,1,29399,1
u:2079255,1,13239,1
u:2216202,1,17333,1
u:220309,1,20277,1
u:2291958,1,8074,1
u:1164930,1,2424,1
u:2338122,3,1548564,1
d:31eae122-a3ff-33c7-8079-779f9de36d63,3,5748193,1
u:2315906,3,2858339,1
u:2151239,1,8831,1
u:1377138,3,13114087,1
u:2355045,2,5295,1
u:2077377,3,1271328,1
u:2349103,1,15305,1
u:2349087,3,2661227,1
u:861722,1,4176,1
u:537002,3,2973285,1
u:20017402,3,2479481,1
d:21287e2c-cc91-3e72-9fdc-e8e5af007046,1,28153,1
d:6fd24cd4-cef1-3941-8fc9-acaab2b3c6b8,1,23929,1
u:544442,3,15023163,1
u:2074872,1,29863,1
d:89c8328505b2ce1f08c599dcc7412a747b181c2e,1,23503,1
u:369353,3,14998579,1
u:2341749,1,26265,1
u:2354409,3,1283412,1
d:41705b10-8968-370f-ac66-239d937ca61b,1,28157,1
u:2315939,1,12201,1
u:2100785,3,6026659,1
u:342599,1,24793,1
u:597058,1,6612,2
u:2344341,2,6235,1
u:2142931,1,15711,1
u:2013243,3,1130163,1
u:2231886,3,1295200,1
u:1091944,3,14998579,1
u:384493,3,2770387,1
u:872018,2,3632,2
u:2051336,2,6741,1
u:2352040,2,2554,1
u:1445888,2,3244,3
u:2228534,3,4074157,1
u:251211,3,14365075,1
d:831d56d345582aa4616bfebfc95e29cbc9115117,1,112,1
u:506516,1,30875,3
d:3dbbafc9-b870-30ed-9696-02af6b376139,1,13247,1
u:1310814,3,14974473,1
u:467582,1,8939,1
u:2324405,1,9069,1
u:2280926,1,24277,1
u:564126,3,12459217,1
u:2197943,2,28,1
u:2295400,3,2590567,1
u:662044,1,31159,1
u:2352856,1,27243,1
u:2353583,1,26271,1
u:2311151,3,913287,2
u:2049765,1,1738,1
u:2243595,1,26879,1
u:363583,3,2984481,1
u:2244563,1,6172,1
u:2038550,1,11543,3
u:480664,3,5394451,1
u:2242259,1,28485,1
u:1022924,1,13365,1
u:408178,1,29863,1
d:5868350f-593f-3326-9a61-cae70f8a18da,3,14974473,1
u:2189677,2,6169,1
u:1395892,3,2987521,1
u:2210659,1,25573,1
u:2033595,2,2394,1
u:468548,1,18569,1
u:2141493,3,12500107,2
d:bc04a747-3002-3b1a-b3bd-a49e397cc25e,2,5763,1
u:1447946,3,1427018,1
u:2254758,2,6651,1
u:1354162,1,8821,1
u:2347454,3,13515581,1
u:20001918,3,13344491,2
u:130155,1,16027,1
u:2349053,1,21281,1
u:2341589,1,18923,1
u:664058,3,5545707,1
u:588038,3,14974471,1
u:2335217,1,25437,1
u:1139464,1,7762,1
u:1316522,1,95,1
u:2101052,1,9477,1
u:2113893,3,13463869,1
u:511104,1,16429,1
u:2183216,1,20189,1
u:2237206,2,136,1
d:c7d9f38c930f9a8a5aeae75f5e6c8214d743f361,2,5975,1
u:2332376,3,13590331,1
u:2290666,1,5860,1
u:2258388,2,3512,1
u:2010703,1,4446,1
u:475104,1,20385,1
u:2140789,2,100,2
d:e7dd1bc0-6e30-3d07-a953-285c06b7fe42,3,14974481,1
u:2345439,1,30251,1
u:2010542,1,31011,2
u:1075680,1,10681,1
u:2239439,1,20479,1
d:a46388ab-bcdf-3e7d-bb66-47360c68f8e3,1,28411,1
u:1047630,1,8783,2
u:2227327,1,72,2
u:2289968,3,3407509,1
u:20042562,1,25533,1
u:2352964,1,20299,3
u:599364,1,19441,1
u:2249484,3,4620113,1
u:2337466,1,18137,1
u:1080944,1,8634,1
u:2167397,2,26,1
u:2213345,1,29513,1
u:2070460,2,5689,1
u:2222067,1,24089,1
u:1171768,3,13158939,1
u:2322078,3,4077381,1
u:2069944,3,13075137,1
u:1264494,1,18273,1
u:2100785,3,12492109,1
u:2285582,1,27951,2
u:657766,2,6095,1
u:20081414,1,862,2
u:2099916,1,10727,1
u:2037532,1,26879,1
u:1356946,1,21375,1
u:1237692,1,299,1
u:2335386,3,3398343,1
u:2227315,3,12705189,1
u:2298739,1,23821,1
d:c8d4d067-0e6b-3d8f-b4ac-9e819edb762c,2,2106,1
u:219719,1,17513,1
u:468548,2,2606,1
u:1467784,1,27537,1
u:702200,2,3260,4
u:2306287,2,5647,1
u:1381364,1,28341,1
u:617194,1,29513,1
u:1394032,1,12949,1
u:2354102,1,24783,1
u:2263122,1,27779,1
d:82f8a9b2967567e7efbf1b0625f30db032b65248,3,5704697,1
u:2219871,1,17881,1
d:e6597b5a-6be4-3c69-9234-8ff3b41d3747,2,6123,1
u:2341195,1,30947,1
u:2353335,1,25069,1
u:1016350,1,25137,1
u:784628,1,25689,1
u:2348858,1,10791,2
u:2324627,3,5614987,1
u:20032636,1,26901,1
u:2354535,3,14897855,2
u:2340406,2,2654,1
u:20046358,3,13140959,1
u:795734,1,2736,1
u:2354344,1,20035,1
u:2343171,3,13218645,1
u:2354765,3,5213715,2
u:2290538,3,14258523,1
u:2017822,3,5542037,1
u:2339385,1,28895,1
u:1372726,3,1926233,1
u:1011804,3,12996163,1
u:2320804,3,15004591,1
u:284857,1,7692,1
u:2069223,1,19379,1
u:2080807,1,7230,1
u:2070717,3,14897855,1
u:2187005,1,25297,1
u:2297657,1,37,1
u:2341567,2,6,1
u:772898,1,4132,1
d:4f6c22ba9fca99cf46e461794042b3809bb4ab2f,1,18003,1
u:2319431,3,15002423,1
u:661460,3,1293172,1
u:972368,1,28879,1
d:f5dc82f7-d13e-3003-bba1-e8dd217af65f,3,14974473,1
u:2304923,1,20017,1
u:399122,1,22231,1
u:2350465,2,6285,1
u:2339295,3,5415569,1
u:2032953,1,20131,1
u:2110153,3,14938491,1
u:2337466,1,2206,1
d:d491704e2c6374fe08e86490c77f23baafe3f2d2,1,40,1
u:2354497,1,20299,1
u:2027991,1,7692,3
u:2233455,1,16019,1
u:2341185,1,74,1
u:2130125,2,3878,1
u:1386492,1,24559,1
u:20061646,1,8604,1
u:1421838,1,5814,1
u:963366,3,6057797,1
u:612958,1,16625,1
u:2062134,1,10591,1
u:2240624,1,21507,1
u:1172046,1,16157,1
u:626988,2,6299,2
u:1478148,1,12999,1
u:2186362,1,16027,1
u:20044386,3,15007029,1
u:2209378,1,11651,2
d:be8dc291-984b-3850-ab1d-3597f901ab63,3,14276881,3
u:2350623,1,14055,1
d:12465b65-c613-3f33-900d-5a2048554366,3,14974473,1
u:872300,1,15305,1
u:2295874,1,22645,1
u:795070,2,2102,1
u:1152558,3,2616797,1
u:2286497,1,25469,2
u:2176415,3,15020393,1
d:d4c05655-1219-3033-9de4-1a3d82df24ec,1,31037,1
u:2353605,2,2422,1
d:89a82a439032702c16d221933863d2f9bc64d3f2,1,112,1
u:829172,1,138,1
u:2063428,1,24283,3
d:cd4cd47b-bc6d-3b09-b0af-2cfed69b7e14,3,14977811,1
u:2334503,1,11871,1
u:1390014,1,5440,1
u:1389326,1,3252,1
u:2215736,3,14974531,1
u:2162606,2,6299,2
u:2293011,3,2830267,1
u:2124922,1,26581,1
u:524282,3,14418371,1
u:2041967,1,20493,1
u:2049753,1,19627,1
d:a27c1c75ce3156315a6a319401945a889166239e,2,3444,1
u:2083784,3,4500705,1
u:648054,1,29863,1
u:2330677,1,229,1
d:9f82e89f-9466-3d7b-8189-670ef502b20c,3,13469713,1
u:2330728,1,5224,1
d:4c80b822-982c-3c24-b775-d6c74e94e1df,3,1040787,1
u:639238,3,14989861,1
u:2155001,1,8534,1
u:670548,1,30091,1
u:939880,3,14974529,1
u:2283481,1,22151,2
u:2277707,3,2704033,1
d:bd7e5cd8-2e85-3861-86af-96bd18e8c91d,3,2676239,1
u:2299951,3,12494941,1
u:1480836,3,14897111,1
u:635668,1,29863,1
u:2337466,1,22447,2
u:2266097,3,2572599,1
u:2324405,1,2574,2
d:6b64d68ea2cd97bcce528c8fddd79741863068ee,1,5860,1
u:879702,1,19,2
u:2355332,1,2302,1
u:2203718,1,8903,2
u:1250664,1,24479,1
d:f3ad792f-debf-3f17-9c5a-92bd6d5e65a3,2,8,1
u:2354344,1,17229,1
u:2168177,1,30997,1
u:2213040,3,5776985,1
u:111289,1,11367,1
u:660854,3,5415569,1
u:2292097,3,13076801,1
d:8725e736c265399abc225b29e906401cb027e96a,3,14974471,1
u:2243279,3,1903944,1
u:2275760,3,13124483,3
u:2336907,1,18597,1
u:1052578,2,48,2
u:232757,1,92,1
u:2235853,1,22157,1
u:2295635,1,15703,1
d:349f6534-5e12-3a9e-8113-bfe67f94b409,3,5217427,1
u:2224219,1,4728,2
u:2348535,3,2883539,1
u:20069560,1,380,1
u:2048705,1,16,1
